Degree,Major,Specialization,CGPA,Skills,Certification,Years of Experience,Preferred Industry,Job Role
M.Sc,Computer Science,Networking,7.27,"Azure, Docker, Kubernetes",AWS Cloud Practitioner,5,Retail,Cloud Engineer
B.Sc,Electronics,Cybersecurity,8.42,"R, Statistics, Data Visualization",Google Data Analytics,5,Education,Data Analyst
B.Sc,Electronics,Data Analytics,6.71,"Cloud Security, Virtualization",Microsoft Azure Fundamentals,2,IT,Data Analyst
B.Tech,Data Science,Machine Learning,7.25,"Big Data, Hadoop, Spark",Google Data Analytics,5,Healthcare,Data Analyst
MCA,Electrical Engineering,Machine Learning,7.39,"Python, Pandas, Numpy",Google Cloud Engineer,7,Finance,Cloud Engineer
B.Tech,Information Technology,Cloud Computing,7.99,"Big Data, Hadoop, Spark",Google Cloud Engineer,0,Retail,Data Analyst
B.Sc,Computer Science,Cloud Computing,7.62,"R, Statistics, Data Visualization",IBM Data Science,9,Manufacturing,Cloud Engineer
MCA,Information Technology,Cloud Computing,6.4,"AWS, Linux, Networking",LinkedIn Learning Cloud Course,3,Healthcare,Cloud Engineer
B.Tech,Data Science,Cloud Computing,7.01,"Big Data, Hadoop, Spark",IBM Data Science,10,IT,Cloud Engineer
BCA,Information Technology,Data Analytics,7.66,"Cloud Security, Virtualization",Microsoft Azure Fundamentals,6,Finance,Cloud Engineer
BCA,Electrical Engineering,Cloud Computing,8.99,"Cloud Security, Virtualization",AWS Certified Solutions Architect,6,Manufacturing,Cloud Engineer
M.Sc,Electrical Engineering,Machine Learning,7.39,"Azure, Docker, Kubernetes",Coursera Data Analyst Certificate,7,Manufacturing,Cloud Engineer
BCA,Data Science,Cybersecurity,9.22,"R, Statistics, Data Visualization",AWS Cloud Practitioner,1,Retail,Data Analyst
B.Tech,Computer Science,Data Analytics,8.99,"Python, Pandas, Numpy",LinkedIn Learning Cloud Course,2,Retail,Data Analyst
M.Sc,Information Technology,Machine Learning,9.29,"Azure, Docker, Kubernetes",IBM Data Science,3,Retail,Cloud Engineer
MCA,Data Science,Machine Learning,9.57,"AWS, Linux, Networking",IBM Data Science,7,IT,Data Analyst
BCA,Computer Science,Cloud Computing,9.32,"Python, SQL, Excel",Google Data Analytics,6,Healthcare,Data Analyst
B.Sc,Data Science,Networking,8.96,"Python, SQL, Excel",AWS Cloud Practitioner,10,Healthcare,Data Analyst
M.Sc,Computer Science,Data Analytics,6.51,"AWS, Terraform, DevOps Tools",IBM Data Science,7,Retail,Data Analyst
M.Tech,Computer Science,Machine Learning,7.6,"Azure, Docker, Kubernetes",Oracle Cloud Infrastructure,9,Finance,Data Analyst
MCA,Electrical Engineering,Cloud Computing,7.01,"Python, SQL, Excel",Google Cloud Engineer,5,Retail,Cloud Engineer
M.Tech,Electrical Engineering,Data Analytics,6.31,"AWS, Linux, Networking",Google Data Analytics,0,Finance,Cloud Engineer
B.Tech,Electronics,Networking,8.5,"AWS, Terraform, DevOps Tools",IBM Data Science,1,Education,Data Analyst
M.Tech,Data Science,Cloud Computing,6.67,"AWS, Linux, Networking",AWS Cloud Practitioner,6,Healthcare,Data Analyst
B.Sc,Data Science,Machine Learning,7.64,"Big Data, Hadoop, Spark",Google Cloud Engineer,5,Healthcare,Cloud Engineer
M.Tech,Computer Science,Machine Learning,7.56,"Cloud Security, Virtualization",IBM Data Science,10,IT,Data Analyst
B.Sc,Electronics,Networking,7.26,"Azure, Docker, Kubernetes",Coursera Data Analyst Certificate,4,Education,Cloud Engineer
B.Sc,Information Technology,Data Analytics,6.08,"AWS, Linux, Networking",LinkedIn Learning Cloud Course,10,Finance,Data Analyst
BCA,Computer Science,Cybersecurity,9.25,"AWS, Linux, Networking",Microsoft Azure Fundamentals,6,Education,Cloud Engineer
M.Tech,Data Science,Data Analytics,8.1,"Cloud Security, Virtualization",Coursera Data Analyst Certificate,10,Finance,Data Analyst
M.Sc,Data Science,Cybersecurity,9.2,"Python, Pandas, Numpy",Google Data Analytics,8,Retail,Data Analyst
MCA,Data Science,Data Analytics,8.33,"R, Statistics, Data Visualization",Google Cloud Engineer,2,Finance,Data Analyst
BCA,Computer Science,Cybersecurity,7.85,"AWS, Linux, Networking",AWS Cloud Practitioner,3,Manufacturing,Data Analyst
M.Sc,Data Science,Machine Learning,7.44,"Python, Pandas, Numpy",AWS Certified Solutions Architect,7,Retail,Data Analyst
BCA,Data Science,Machine Learning,8.26,"R, Statistics, Data Visualization",IBM Data Science,10,IT,Cloud Engineer
BCA,Information Technology,Cloud Computing,9.26,"Power BI, Tableau, Excel",LinkedIn Learning Cloud Course,1,IT,Data Analyst
MCA,Data Science,Networking,8.11,"Big Data, Hadoop, Spark",Coursera Data Analyst Certificate,3,Manufacturing,Data Analyst
M.Sc,Computer Science,Machine Learning,7,"AWS, Terraform, DevOps Tools",Coursera Data Analyst Certificate,0,Healthcare,Cloud Engineer
M.Tech,Computer Science,Cybersecurity,9.66,"Python, Pandas, Numpy",LinkedIn Learning Cloud Course,5,Education,Data Analyst
M.Sc,Electrical Engineering,Data Analytics,7.8,"Azure, Docker, Kubernetes",IBM Data Science,2,IT,Cloud Engineer
M.Sc,Electrical Engineering,Machine Learning,7.05,"Big Data, Hadoop, Spark",Google Data Analytics,7,Healthcare,Cloud Engineer
B.Tech,Electrical Engineering,Data Analytics,9.07,"AWS, Terraform, DevOps Tools",Coursera Data Analyst Certificate,10,Manufacturing,Data Analyst
M.Tech,Information Technology,Machine Learning,7.74,"R, Statistics, Data Visualization",AWS Certified Solutions Architect,5,IT,Cloud Engineer
B.Sc,Electrical Engineering,Networking,6.62,"AWS, Linux, Networking",Oracle Cloud Infrastructure,9,Finance,Cloud Engineer
M.Tech,Information Technology,Cybersecurity,7.48,"Azure, Docker, Kubernetes",Oracle Cloud Infrastructure,6,Retail,Cloud Engineer
MCA,Electronics,Cybersecurity,8.81,"Azure, Docker, Kubernetes",Microsoft Azure Fundamentals,6,Finance,Cloud Engineer
M.Tech,Computer Science,Cybersecurity,8.33,"Cloud Security, Virtualization",Microsoft Azure Fundamentals,7,IT,Cloud Engineer
B.Sc,Data Science,Networking,6.22,"Big Data, Hadoop, Spark",Oracle Cloud Infrastructure,9,Education,Data Analyst
M.Sc,Data Science,Data Analytics,6.06,"Azure, Docker, Kubernetes",Oracle Cloud Infrastructure,1,IT,Cloud Engineer
BCA,Electronics,Cybersecurity,7.81,"Power BI, Tableau, Excel",Google Cloud Engineer,9,Retail,Data Analyst
MCA,Information Technology,Machine Learning,8.22,"Cloud Security, Virtualization",Google Cloud Engineer,4,Retail,Cloud Engineer
M.Sc,Electrical Engineering,Cloud Computing,8.6,"Azure, Docker, Kubernetes",LinkedIn Learning Cloud Course,1,Education,Data Analyst
B.Tech,Information Technology,Data Analytics,6.62,"R, Statistics, Data Visualization",LinkedIn Learning Cloud Course,4,IT,Data Analyst
M.Sc,Electronics,Data Analytics,9.03,"Azure, Docker, Kubernetes",AWS Certified Solutions Architect,8,Finance,Cloud Engineer
M.Tech,Data Science,Cloud Computing,7.84,"Python, SQL, Excel",AWS Certified Solutions Architect,9,Retail,Cloud Engineer
B.Sc,Electronics,Cybersecurity,7.31,"Big Data, Hadoop, Spark",IBM Data Science,0,Finance,Cloud Engineer
BCA,Computer Science,Networking,7.68,"Power BI, Tableau, Excel",Microsoft Azure Fundamentals,8,Manufacturing,Data Analyst
B.Sc,Electrical Engineering,Networking,7.97,"Big Data, Hadoop, Spark",Coursera Data Analyst Certificate,9,IT,Cloud Engineer
M.Tech,Information Technology,Networking,9.56,"Azure, Docker, Kubernetes",AWS Certified Solutions Architect,1,Retail,Data Analyst
B.Tech,Electronics,Cybersecurity,9.71,"R, Statistics, Data Visualization",AWS Cloud Practitioner,10,Retail,Cloud Engineer
B.Sc,Electrical Engineering,Cloud Computing,6.28,"AWS, Terraform, DevOps Tools",Coursera Data Analyst Certificate,6,Manufacturing,Cloud Engineer
M.Sc,Information Technology,Cloud Computing,9.79,"AWS, Linux, Networking",Coursera Data Analyst Certificate,1,Education,Data Analyst
B.Tech,Data Science,Networking,6.79,"AWS, Linux, Networking",LinkedIn Learning Cloud Course,1,IT,Cloud Engineer
B.Tech,Computer Science,Cybersecurity,9.23,"Big Data, Hadoop, Spark",Coursera Data Analyst Certificate,8,IT,Data Analyst
M.Tech,Information Technology,Cybersecurity,6.35,"Power BI, Tableau, Excel",Oracle Cloud Infrastructure,1,Education,Cloud Engineer
B.Tech,Electronics,Machine Learning,6.5,"Python, Pandas, Numpy",AWS Cloud Practitioner,5,IT,Cloud Engineer
B.Sc,Electronics,Data Analytics,9,"Azure, Docker, Kubernetes",Google Data Analytics,9,Manufacturing,Cloud Engineer
M.Tech,Data Science,Networking,8.45,"R, Statistics, Data Visualization",Microsoft Azure Fundamentals,2,Finance,Data Analyst
BCA,Electronics,Cloud Computing,8.08,"R, Statistics, Data Visualization",LinkedIn Learning Cloud Course,4,Manufacturing,Cloud Engineer
BCA,Electronics,Machine Learning,7.92,"Python, Pandas, Numpy",Coursera Data Analyst Certificate,8,Retail,Data Analyst
M.Sc,Computer Science,Data Analytics,6.67,"AWS, Linux, Networking",IBM Data Science,6,Healthcare,Cloud Engineer
M.Tech,Information Technology,Networking,6.64,"Power BI, Tableau, Excel",Coursera Data Analyst Certificate,0,Retail,Data Analyst
B.Sc,Electrical Engineering,Networking,10,"Big Data, Hadoop, Spark",LinkedIn Learning Cloud Course,9,Manufacturing,Cloud Engineer
BCA,Computer Science,Networking,8.51,"Cloud Security, Virtualization",AWS Certified Solutions Architect,4,Retail,Cloud Engineer
MCA,Information Technology,Networking,9.08,"Big Data, Hadoop, Spark",Google Data Analytics,7,Healthcare,Data Analyst
B.Sc,Information Technology,Data Analytics,6.37,"R, Statistics, Data Visualization",LinkedIn Learning Cloud Course,2,Education,Cloud Engineer
M.Sc,Information Technology,Machine Learning,8.38,"Power BI, Tableau, Excel",Oracle Cloud Infrastructure,2,Finance,Cloud Engineer
M.Tech,Data Science,Networking,8.88,"Python, Pandas, Numpy",Microsoft Azure Fundamentals,0,Manufacturing,Data Analyst
M.Sc,Information Technology,Machine Learning,9.44,"Cloud Security, Virtualization",Oracle Cloud Infrastructure,10,IT,Cloud Engineer
BCA,Data Science,Cloud Computing,9.01,"Python, SQL, Excel",AWS Certified Solutions Architect,10,IT,Cloud Engineer
M.Sc,Data Science,Cybersecurity,7.68,"Python, Pandas, Numpy",Coursera Data Analyst Certificate,8,Education,Cloud Engineer
M.Tech,Electrical Engineering,Cloud Computing,6.27,"Power BI, Tableau, Excel",IBM Data Science,4,Finance,Data Analyst
M.Tech,Computer Science,Machine Learning,7.24,"Python, SQL, Excel",Coursera Data Analyst Certificate,0,Education,Cloud Engineer
M.Tech,Data Science,Networking,9.28,"Cloud Security, Virtualization",IBM Data Science,2,Finance,Cloud Engineer
M.Tech,Information Technology,Data Analytics,8.91,"AWS, Linux, Networking",AWS Cloud Practitioner,6,Finance,Cloud Engineer
M.Tech,Electrical Engineering,Cloud Computing,6.82,"Power BI, Tableau, Excel",AWS Cloud Practitioner,5,Retail,Data Analyst
BCA,Information Technology,Cloud Computing,7,"AWS, Terraform, DevOps Tools",LinkedIn Learning Cloud Course,7,Education,Cloud Engineer
M.Sc,Electrical Engineering,Cloud Computing,6.9,"Python, SQL, Excel",Microsoft Azure Fundamentals,3,Finance,Data Analyst
M.Tech,Electronics,Data Analytics,8.51,"R, Statistics, Data Visualization",Microsoft Azure Fundamentals,9,Healthcare,Data Analyst
B.Sc,Information Technology,Networking,6.84,"Power BI, Tableau, Excel",Oracle Cloud Infrastructure,4,IT,Data Analyst
M.Sc,Data Science,Data Analytics,9.44,"Python, SQL, Excel",AWS Cloud Practitioner,1,Manufacturing,Cloud Engineer
M.Sc,Computer Science,Networking,8.86,"Cloud Security, Virtualization",Oracle Cloud Infrastructure,4,Finance,Cloud Engineer
MCA,Computer Science,Cybersecurity,8.08,"AWS, Terraform, DevOps Tools",Oracle Cloud Infrastructure,2,Healthcare,Cloud Engineer
B.Sc,Electronics,Cybersecurity,9.32,"Big Data, Hadoop, Spark",Google Data Analytics,3,IT,Data Analyst
M.Sc,Electrical Engineering,Cybersecurity,7.75,"Big Data, Hadoop, Spark",Google Cloud Engineer,6,Healthcare,Cloud Engineer
M.Tech,Information Technology,Networking,7.98,"AWS, Terraform, DevOps Tools",LinkedIn Learning Cloud Course,3,Retail,Data Analyst
BCA,Information Technology,Cloud Computing,8.44,"Python, Pandas, Numpy",Google Data Analytics,7,Healthcare,Cloud Engineer
B.Tech,Electronics,Data Analytics,7.52,"AWS, Linux, Networking",LinkedIn Learning Cloud Course,6,Retail,Cloud Engineer
BCA,Electronics,Cybersecurity,7.35,"Python, Pandas, Numpy",Oracle Cloud Infrastructure,0,Healthcare,Cloud Engineer
MCA,Computer Science,Cloud Computing,8.83,"Python, Pandas, Numpy",Oracle Cloud Infrastructure,5,Retail,Cloud Engineer
MCA,Computer Science,Cloud Computing,9.63,"Python, Pandas, Numpy",Google Data Analytics,0,Manufacturing,Cloud Engineer
M.Sc,Computer Science,Networking,9.92,"Cloud Security, Virtualization",Oracle Cloud Infrastructure,7,Retail,Data Analyst
MCA,Electronics,Machine Learning,9.49,"Python, Pandas, Numpy",Google Cloud Engineer,8,Manufacturing,Cloud Engineer
B.Sc,Electronics,Networking,7.98,"R, Statistics, Data Visualization",Microsoft Azure Fundamentals,9,Retail,Cloud Engineer
B.Sc,Electronics,Machine Learning,6.94,"AWS, Terraform, DevOps Tools",Google Data Analytics,1,Healthcare,Cloud Engineer
M.Sc,Information Technology,Networking,8.19,"Big Data, Hadoop, Spark",LinkedIn Learning Cloud Course,6,Healthcare,Data Analyst
M.Sc,Computer Science,Data Analytics,9.12,"Azure, Docker, Kubernetes",AWS Certified Solutions Architect,3,Education,Cloud Engineer
M.Sc,Computer Science,Networking,9.34,"AWS, Linux, Networking",Google Cloud Engineer,9,Manufacturing,Cloud Engineer
BCA,Information Technology,Cybersecurity,8.23,"Python, Pandas, Numpy",Coursera Data Analyst Certificate,2,Manufacturing,Cloud Engineer
M.Sc,Electronics,Networking,6.23,"Azure, Docker, Kubernetes",AWS Certified Solutions Architect,9,Education,Cloud Engineer
M.Sc,Electronics,Cloud Computing,8.27,"AWS, Linux, Networking",Google Cloud Engineer,8,Manufacturing,Data Analyst
M.Tech,Electronics,Networking,8.74,"Python, SQL, Excel",AWS Certified Solutions Architect,4,Education,Cloud Engineer
MCA,Information Technology,Cloud Computing,8.33,"AWS, Terraform, DevOps Tools",Oracle Cloud Infrastructure,2,Healthcare,Cloud Engineer
B.Sc,Data Science,Cybersecurity,7.09,"Azure, Docker, Kubernetes",IBM Data Science,6,IT,Cloud Engineer
M.Sc,Information Technology,Cybersecurity,8.93,"Python, Pandas, Numpy",IBM Data Science,4,IT,Data Analyst
B.Sc,Information Technology,Machine Learning,7.38,"AWS, Terraform, DevOps Tools",Google Data Analytics,8,Education,Cloud Engineer
B.Tech,Data Science,Networking,7.92,"Big Data, Hadoop, Spark",AWS Cloud Practitioner,8,Finance,Cloud Engineer
B.Tech,Data Science,Cloud Computing,9.8,"Power BI, Tableau, Excel",Google Cloud Engineer,8,Healthcare,Cloud Engineer
MCA,Data Science,Cloud Computing,9.14,"AWS, Terraform, DevOps Tools",IBM Data Science,10,IT,Cloud Engineer
M.Tech,Electrical Engineering,Cybersecurity,8.93,"Cloud Security, Virtualization",Oracle Cloud Infrastructure,8,Retail,Data Analyst
BCA,Electronics,Networking,6.99,"Power BI, Tableau, Excel",AWS Certified Solutions Architect,3,Finance,Data Analyst
BCA,Electronics,Cybersecurity,9.24,"AWS, Terraform, DevOps Tools",AWS Cloud Practitioner,5,IT,Data Analyst
BCA,Computer Science,Data Analytics,7.09,"R, Statistics, Data Visualization",Google Cloud Engineer,4,Finance,Cloud Engineer
M.Sc,Electronics,Networking,7.86,"AWS, Terraform, DevOps Tools",AWS Cloud Practitioner,3,Education,Cloud Engineer
B.Sc,Electronics,Cloud Computing,8.4,"Python, SQL, Excel",IBM Data Science,6,Education,Cloud Engineer
M.Sc,Data Science,Networking,7.4,"Python, Pandas, Numpy",AWS Cloud Practitioner,6,IT,Cloud Engineer
MCA,Electronics,Data Analytics,9.68,"R, Statistics, Data Visualization",Microsoft Azure Fundamentals,1,Manufacturing,Cloud Engineer
BCA,Data Science,Cybersecurity,6.61,"Python, SQL, Excel",AWS Cloud Practitioner,9,Retail,Cloud Engineer
M.Tech,Data Science,Cloud Computing,7.43,"Cloud Security, Virtualization",Oracle Cloud Infrastructure,0,IT,Data Analyst
B.Tech,Computer Science,Data Analytics,7.97,"Python, SQL, Excel",AWS Certified Solutions Architect,8,Finance,Cloud Engineer
M.Sc,Electronics,Data Analytics,7.76,"Cloud Security, Virtualization",Google Cloud Engineer,4,IT,Cloud Engineer
M.Sc,Information Technology,Cloud Computing,7.29,"Azure, Docker, Kubernetes",IBM Data Science,2,IT,Cloud Engineer
B.Tech,Business Administration,Risk Management,7.29,"Tableau, Finance Modeling",CFA Level 1,3,Banking,Financial Analyst
B.Com,Management,Corporate Finance,9.48,"Excel, Financial Modeling",None,4,FinTech,Financial Analyst
BA Economics,Management,Investment Banking,8.16,"Risk Assessment, Excel",Financial Analyst Certification,4,FinTech,Financial Analyst
B.Tech,Accounting,Corporate Finance,7.31,"Excel, Financial Modeling",FRM,1,Insurance,Financial Analyst
BA Economics,Accounting,Corporate Finance,9.48,"Python, Data Analysis",None,0,Investment Firms,Financial Analyst
BBA,Economics,Financial Analysis,6.82,"SQL, Power BI",FRM,4,Finance,Financial Analyst
MBA,Finance,Risk Management,7.75,"Python, Data Analysis",None,1,Banking,Financial Analyst
BBA,Economics,Risk Management,6.79,"Excel, Financial Modeling",CFA Level 2,0,Investment Firms,Financial Analyst
MBA,Accounting,Financial Analysis,6.98,"Python, Data Analysis",Financial Analyst Certification,2,Finance,Financial Analyst
BBA,Business Administration,Risk Management,6.31,"Risk Assessment, Excel",Financial Analyst Certification,1,Investment Firms,Financial Analyst
MBA,Business Administration,Investment Banking,7.01,"Risk Assessment, Excel",Financial Analyst Certification,0,Investment Firms,Financial Analyst
BBA,Business Administration,Corporate Finance,9.44,"Excel, Financial Modeling",CFA Level 1,4,Insurance,Financial Analyst
B.Tech,Economics,Financial Analysis,6.37,"Tableau, Finance Modeling",Financial Analyst Certification,4,Banking,Financial Analyst
B.Com,Economics,Risk Management,6.43,"Python, Data Analysis",None,4,Finance,Financial Analyst
B.Tech,Management,Corporate Finance,8.4,"SQL, Power BI",FRM,3,Finance,Financial Analyst
BA Economics,Business Administration,Financial Analysis,6.74,"Python, Data Analysis",CFA Level 2,1,Banking,Financial Analyst
BBA,Economics,Risk Management,9.06,"Risk Assessment, Excel",Financial Analyst Certification,1,Insurance,Financial Analyst
MBA,Finance,Corporate Finance,7.84,"Risk Assessment, Excel",None,2,Investment Firms,Financial Analyst
B.Tech,Accounting,Risk Management,9.34,"Python, Data Analysis",CFA Level 1,2,FinTech,Financial Analyst
B.Com,Business Administration,Investment Banking,7.83,"Tableau, Finance Modeling",Financial Analyst Certification,4,Banking,Financial Analyst
BA Economics,Management,Corporate Finance,8.65,"Excel, Financial Modeling",CFA Level 2,5,FinTech,Financial Analyst
B.Com,Business Administration,Corporate Finance,8.83,"Excel, Financial Modeling",Financial Analyst Certification,3,Insurance,Financial Analyst
BA Economics,Business Administration,Financial Analysis,7.18,"Tableau, Finance Modeling",CFA Level 2,3,Insurance,Financial Analyst
B.Tech,Management,Investment Banking,7.23,"Risk Assessment, Excel",FRM,3,Finance,Financial Analyst
B.Tech,Economics,Financial Analysis,7.65,"Risk Assessment, Excel",FRM,5,Finance,Financial Analyst
B.Tech,Economics,Financial Analysis,6.1,"Python, Data Analysis",CFA Level 1,0,FinTech,Financial Analyst
B.Tech,Finance,Corporate Finance,6.48,"Risk Assessment, Excel",FRM,2,Banking,Financial Analyst
BA Economics,Management,Financial Analysis,7.89,"Excel, Financial Modeling",None,5,FinTech,Financial Analyst
B.Com,Economics,Risk Management,6.62,"SQL, Power BI",None,1,Banking,Financial Analyst
BA Economics,Economics,Investment Banking,6.62,"Tableau, Finance Modeling",CFA Level 2,4,Investment Firms,Financial Analyst
BA Economics,Finance,Risk Management,9.45,"Python, Data Analysis",FRM,1,Finance,Financial Analyst
MBA,Business Administration,Investment Banking,7.24,"Excel, Financial Modeling",None,1,Investment Firms,Financial Analyst
B.Tech,Management,Corporate Finance,7.41,"Python, Data Analysis",Financial Analyst Certification,0,Investment Firms,Financial Analyst
B.Tech,Management,Corporate Finance,9.56,"Risk Assessment, Excel",None,4,FinTech,Financial Analyst
MBA,Economics,Risk Management,9.21,"Tableau, Finance Modeling",None,1,Banking,Financial Analyst
MBA,Finance,Corporate Finance,9.04,"Risk Assessment, Excel",CFA Level 1,3,FinTech,Financial Analyst
BA Economics,Economics,Investment Banking,8.87,"Excel, Financial Modeling",Financial Analyst Certification,5,Insurance,Financial Analyst
BBA,Finance,Corporate Finance,9.83,"SQL, Power BI",FRM,0,Banking,Financial Analyst
B.Com,Business Administration,Risk Management,8.82,"Risk Assessment, Excel",FRM,5,Banking,Financial Analyst
B.Com,Accounting,Risk Management,9.04,"SQL, Power BI",CFA Level 1,5,FinTech,Financial Analyst
MBA,Economics,Corporate Finance,8.23,"Python, Data Analysis",FRM,3,Insurance,Financial Analyst
B.Tech,Management,Corporate Finance,7.96,"Python, Data Analysis",Financial Analyst Certification,0,Insurance,Financial Analyst
MBA,Economics,Risk Management,7.33,"Tableau, Finance Modeling",Financial Analyst Certification,3,Insurance,Financial Analyst
B.Com,Finance,Investment Banking,7.42,"Tableau, Finance Modeling",FRM,3,Finance,Financial Analyst
BA Economics,Finance,Risk Management,8.49,"SQL, Power BI",Financial Analyst Certification,0,Investment Firms,Financial Analyst
MBA,Economics,Investment Banking,6.61,"Risk Assessment, Excel",Financial Analyst Certification,1,FinTech,Financial Analyst
B.Com,Management,Corporate Finance,9.3,"Tableau, Finance Modeling",Financial Analyst Certification,3,FinTech,Financial Analyst
B.Tech,Accounting,Corporate Finance,9.46,"Tableau, Finance Modeling",CFA Level 1,5,Investment Firms,Financial Analyst
MBA,Management,Risk Management,7.61,"SQL, Power BI",Financial Analyst Certification,4,Banking,Financial Analyst
MBA,Finance,Financial Analysis,9.13,"Risk Assessment, Excel",CFA Level 1,5,Finance,Financial Analyst
MBA,Business Administration,Risk Management,9.19,"Tableau, Finance Modeling",CFA Level 1,2,Finance,Financial Analyst
B.Tech,Business Administration,Risk Management,6.65,"Risk Assessment, Excel",Financial Analyst Certification,3,FinTech,Financial Analyst
B.Tech,Management,Corporate Finance,6.45,"Risk Assessment, Excel",None,4,Insurance,Financial Analyst
BBA,Accounting,Financial Analysis,9.81,"Python, Data Analysis",Financial Analyst Certification,4,Finance,Financial Analyst
MBA,Management,Financial Analysis,8.91,"Excel, Financial Modeling",Financial Analyst Certification,0,Finance,Financial Analyst
BA Economics,Management,Financial Analysis,8.71,"SQL, Power BI",None,1,Banking,Financial Analyst
BA Economics,Business Administration,Risk Management,8.07,"SQL, Power BI",None,1,FinTech,Financial Analyst
MBA,Finance,Investment Banking,8.06,"SQL, Power BI",CFA Level 1,1,FinTech,Financial Analyst
B.Com,Finance,Risk Management,9.03,"Risk Assessment, Excel",FRM,3,Finance,Financial Analyst
B.Com,Management,Risk Management,7.06,"Python, Data Analysis",CFA Level 1,1,Investment Firms,Financial Analyst
B.Tech,Finance,Financial Analysis,9.64,"SQL, Power BI",CFA Level 1,4,FinTech,Financial Analyst
BA Economics,Finance,Financial Analysis,10,"Risk Assessment, Excel",CFA Level 2,4,Investment Firms,Financial Analyst
B.Tech,Management,Financial Analysis,6.75,"Excel, Financial Modeling",None,1,Banking,Financial Analyst
BA Economics,Economics,Investment Banking,6.28,"Risk Assessment, Excel",Financial Analyst Certification,4,Finance,Financial Analyst
B.Com,Management,Corporate Finance,7.5,"SQL, Power BI",CFA Level 1,2,FinTech,Financial Analyst
BA Economics,Management,Investment Banking,8.32,"Risk Assessment, Excel",Financial Analyst Certification,1,Insurance,Financial Analyst
BA Economics,Business Administration,Corporate Finance,6.26,"Python, Data Analysis",CFA Level 2,1,FinTech,Financial Analyst
B.Tech,Finance,Corporate Finance,8.65,"Python, Data Analysis",CFA Level 1,5,Finance,Financial Analyst
BBA,Accounting,Risk Management,6.73,"SQL, Power BI",Financial Analyst Certification,2,Insurance,Financial Analyst
B.Com,Management,Financial Analysis,7.35,"Excel, Financial Modeling",CFA Level 1,4,FinTech,Financial Analyst
B.Com,Finance,Corporate Finance,8.22,"Python, Data Analysis",Financial Analyst Certification,0,FinTech,Financial Analyst
B.Com,Management,Risk Management,7.35,"Python, Data Analysis",CFA Level 1,4,Investment Firms,Financial Analyst
BBA,Business Administration,Corporate Finance,7.34,"Excel, Financial Modeling",CFA Level 1,3,Banking,Financial Analyst
MBA,Economics,Risk Management,8.2,"Tableau, Finance Modeling",Financial Analyst Certification,1,FinTech,Financial Analyst
B.Tech,Business Administration,Corporate Finance,7.26,"Risk Assessment, Excel",CFA Level 2,0,FinTech,Financial Analyst
MBA,Finance,Risk Management,9.39,"Excel, Financial Modeling",FRM,0,Insurance,Financial Analyst
BA Economics,Business Administration,Investment Banking,9.74,"Python, Data Analysis",CFA Level 2,3,Finance,Financial Analyst
B.Com,Accounting,Financial Analysis,8.82,"SQL, Power BI",None,2,Investment Firms,Financial Analyst
MBA,Finance,Financial Analysis,9.24,"Excel, Financial Modeling",None,4,FinTech,Financial Analyst
B.Com,Finance,Investment Banking,6.01,"Python, Data Analysis",FRM,3,Investment Firms,Financial Analyst
BA Economics,Finance,Risk Management,7.79,"Risk Assessment, Excel",CFA Level 2,2,Finance,Financial Analyst
BBA,Finance,Investment Banking,6.73,"Python, Data Analysis",CFA Level 2,0,Finance,Financial Analyst
B.Tech,Business Administration,Risk Management,9.5,"Excel, Financial Modeling",CFA Level 2,1,Finance,Financial Analyst
B.Tech,Accounting,Investment Banking,7.12,"Python, Data Analysis",Financial Analyst Certification,0,Finance,Financial Analyst
BA Economics,Business Administration,Investment Banking,9.66,"Python, Data Analysis",CFA Level 1,1,Banking,Financial Analyst
B.Com,Finance,Investment Banking,8.19,"Risk Assessment, Excel",CFA Level 1,5,Banking,Financial Analyst
B.Com,Finance,Corporate Finance,8.74,"Python, Data Analysis",FRM,5,Banking,Financial Analyst
B.Tech,Finance,Financial Analysis,6.79,"Tableau, Finance Modeling",CFA Level 1,0,Banking,Financial Analyst
BBA,Finance,Corporate Finance,8.85,"Tableau, Finance Modeling",CFA Level 2,1,Finance,Financial Analyst
BA Economics,Economics,Risk Management,8.59,"SQL, Power BI",None,5,Banking,Financial Analyst
B.Tech,Accounting,Risk Management,7.2,"Excel, Financial Modeling",CFA Level 2,4,Insurance,Financial Analyst
B.Tech,Business Administration,Financial Analysis,7.17,"Tableau, Finance Modeling",Financial Analyst Certification,4,Insurance,Financial Analyst
MBA,Business Administration,Investment Banking,8.48,"Excel, Financial Modeling",CFA Level 2,3,Banking,Financial Analyst
B.Com,Economics,Investment Banking,8.02,"SQL, Power BI",CFA Level 2,0,FinTech,Financial Analyst
BA Economics,Management,Risk Management,8.75,"Tableau, Finance Modeling",CFA Level 2,4,Finance,Financial Analyst
B.Com,Management,Financial Analysis,7.78,"Risk Assessment, Excel",FRM,4,Finance,Financial Analyst
B.Tech,Accounting,Risk Management,6.4,"Python, Data Analysis",Financial Analyst Certification,5,FinTech,Financial Analyst
MBA,Finance,Financial Analysis,7.9,"Tableau, Finance Modeling",FRM,5,Insurance,Financial Analyst
B.Tech,Management,Investment Banking,9.19,"SQL, Power BI",CFA Level 1,4,Finance,Financial Analyst
